mh_level,scope_id,dataset_name,dataset_granularity,scope_kind,scope_market,detector_combination,test_case_name,anomaly_case,precision,recall,f1,true_negative_rate,false_positive_rate,false_negative_rate,g_mean,tp,fp,fn,tn,positive_count,negative_count,predicted_positive_count
mh10,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,currency_swap,0.02690520768323972,0.9724310776942355,0.056284171715099154,0.508579633001821,0.49142036699817904,0.02756892230576441,0.7172188469871279,388.0,14033.0,11.0,14523.0,399.0,28556.0,14421.0
mh15,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,currency_swap,0.02717750306690573,0.993103448275862,0.07003475091191229,0.5118844696969697,0.4881155303030303,0.006896551724137931,0.7806201470203187,288.0,10309.0,2.0,10811.0,290.0,21120.0,10597.0
mh20,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,currency_swap,0.038475433526011564,0.9638009049773756,0.07968271795115396,0.6738357843137255,0.3261642156862745,0.03619909502262444,0.8398218709497471,213.0,5323.0,8.0,10997.0,221.0,16320.0,5536.0
mh25,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,currency_swap,0.04816577989358723,0.9717514124293786,0.10146645382825509,0.739739663093415,0.260260336906585,0.02824858757062147,0.8751481701336252,172.0,3399.0,5.0,9661.0,177.0,13060.0,3571.0
mh30,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,currency_swap,0.05762871988663203,0.976,0.09540427623494716,0.7924037460978148,0.20759625390218522,0.024,0.8957877094929412,122.0,1995.0,3.0,7615.0,125.0,9610.0,2117.0
mh5,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,currency_swap,0.04848893004461655,0.9157392686804452,0.09823903085666286,0.7600110408085269,0.2399889591914731,0.08426073131955485,0.8571590814915032,576.0,11303.0,53.0,35795.0,629.0,47098.0,11879.0
mh10,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,decimal_shift,0.022189862006795645,0.8839779005524862,0.047590754495287504,0.5068373378099534,0.4931626621900465,0.11602209944751381,0.7024447391322408,320.0,14101.0,42.0,14492.0,362.0,28593.0,14421.0
mh15,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,decimal_shift,0.023969047843729357,0.9338235294117647,0.06853964531316777,0.5106916453779923,0.4893083546220078,0.0661764705882353,0.7720134235737646,254.0,10343.0,18.0,10795.0,272.0,21138.0,10597.0
mh20,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,decimal_shift,0.03522398843930636,0.9112149532710281,0.08965711659881308,0.6728731548967967,0.3271268451032033,0.08878504672897196,0.8312481038932504,195.0,5341.0,19.0,10986.0,214.0,16327.0,5536.0
mh25,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,decimal_shift,0.04956594791374965,0.946524064171123,0.1281160016454134,0.7399233716475095,0.2600766283524904,0.053475935828877004,0.8718756844456098,177.0,3394.0,10.0,9656.0,187.0,13050.0,3571.0
