mh_level,scope_id,dataset_name,dataset_granularity,scope_kind,scope_market,detector_combination,test_case_name,precision,recall,f1,true_negative_rate,false_positive_rate,false_negative_rate,g_mean,tp,fp,fn,tn,positive_count,negative_count,predicted_positive_count
mh10,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,0.17883641911101866,0.8911541119557705,0.31375590639527573,0.5456045431871379,0.45439545681286214,0.10884588804422944,0.718613641796477,2579.0,11842.0,315.0,14219.0,2894.0,26061.0,14421.0
mh15,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,0.1807115221289044,0.8948598130841121,0.38683048271386955,0.5494551115723924,0.4505448884276077,0.10514018691588785,0.7781075645656883,1915.0,8682.0,225.0,10588.0,2140.0,19270.0,10597.0
mh20,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,0.2611994219653179,0.8747731397459165,0.46591169940346877,0.7252821063944116,0.2747178936055884,0.12522686025408347,0.8379168574461068,1446.0,4090.0,207.0,10798.0,1653.0,14888.0,5536.0
mh25,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,0.3060767292075049,0.8261526832955405,0.5215196613224551,0.7920094007050529,0.20799059929494712,0.17384731670445955,0.849976505625969,1093.0,2478.0,230.0,9436.0,1323.0,11914.0,3571.0
mh30,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,0.38450637694851203,0.8365878725590956,0.5880757014001956,0.8512896598950012,0.14871034010499887,0.16341212744090441,0.8754311598105428,814.0,1303.0,159.0,7459.0,973.0,8762.0,2117.0
mh5,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,combined,0.31652496001346914,0.787929589270746,0.4882343057528979,0.8109882435106507,0.18901175648934931,0.21207041072925398,0.8282518743467138,3760.0,8119.0,1012.0,34836.0,4772.0,42955.0,11879.0
mh10,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,0.41903171953255425,0.6938493434692468,0.6128794540113829,0.8931737078393001,0.1068262921606999,0.3061506565307533,0.8414983035017757,2008.0,2784.0,886.0,23277.0,2894.0,26061.0,4792.0
mh15,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,0.3507630161579892,0.7303738317757009,0.5883173781279861,0.8498702646600934,0.1501297353399066,0.2696261682242991,0.8526657894893681,1563.0,2893.0,577.0,16377.0,2140.0,19270.0,4456.0
mh20,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,0.3467449008102822,0.7507562008469449,0.5575446488174097,0.842960773777539,0.15703922622246105,0.24924379915305506,0.8545449422536815,1241.0,2338.0,412.0,12550.0,1653.0,14888.0,3579.0
mh25,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,0.3056821634761471,0.7603930461073318,0.5348896777654754,0.8082088299479604,0.1917911700520396,0.23960695389266817,0.8490917220721198,1006.0,2285.0,317.0,9629.0,1323.0,11914.0,3291.0
mh30,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,0.2911730989682843,0.7831449126413155,0.5172287451817088,0.7882903446701667,0.21170965532983338,0.21685508735868447,0.8511777206211427,762.0,1855.0,211.0,6907.0,973.0,8762.0,2617.0
mh5,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,0.46088733216579103,0.6617770326906958,0.598174262400228,0.9140030264230008,0.08599697357699919,0.3382229673093043,0.8201314948718526,3158.0,3694.0,1614.0,39261.0,4772.0,42955.0,6852.0
mh10,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,new_prices,0.19653465346534654,0.9407582938388626,0.32514332514332517,0.5731194108364019,0.4268805891635981,0.05924170616113744,0.7342798098166581,794.0,3246.0,50.0,4358.0,844.0,7604.0,4040.0
mh15,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,new_prices,0.2845138055222089,0.9294117647058824,0.43566176470588236,0.7405311275576839,0.2594688724423161,0.07058823529411765,0.8296133690358564,474.0,1192.0,36.0,3402.0,510.0,4594.0,1666.0
mh20,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,new_prices,0.3449367088607595,0.9263456090651558,0.5026902382782474,0.8049010367577757,0.1950989632422243,0.07365439093484419,0.8634909039084067,327.0,621.0,26.0,2562.0,353.0,3183.0,948.0
mh25,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,new_prices,0.4126984126984127,0.8897338403041825,0.563855421686747,0.8596713021491783,0.14032869785082175,0.11026615969581749,0.8745734097607162,234.0,333.0,29.0,2040.0,263.0,2373.0,567.0
mh30,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,new_prices,0.47701149425287354,0.8972972972972973,0.6228893058161351,0.8906906906906907,0.10930930930930931,0.10270270270270271,0.8939878911286326,166.0,182.0,19.0,1483.0,185.0,1665.0,348.0
mh5,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,new_prices,0.37143503847894976,0.8794212218649518,0.5222788033099937,0.8346630150035723,0.1653369849964277,0.12057877813504823,0.8567498867813909,1641.0,2777.0,225.0,14019.0,1866.0,16796.0,4418.0
mh10,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,new_prices,0.5669607056936647,0.8376777251184834,0.676231468197035,0.9289847448711205,0.07101525512887953,0.1623222748815166,0.8821506831337914,707.0,540.0,137.0,7064.0,844.0,7604.0,1247.0
mh15,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,new_prices,0.5258215962441315,0.8784313725490196,0.657856093979442,0.9120592076621681,0.08794079233783196,0.12156862745098039,0.8950873821212372,448.0,404.0,62.0,4190.0,510.0,4594.0,852.0
mh20,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,new_prices,0.45821325648414984,0.9008498583569405,0.6074498567335244,0.8818724473766887,0.11812755262331134,0.09915014164305949,0.891310646917324,318.0,376.0,35.0,2807.0,353.0,3183.0,694.0
mh25,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,new_prices,0.43911439114391143,0.9049429657794676,0.591304347826087,0.8718921196797303,0.1281078803202697,0.09505703422053231,0.8882638350302919,238.0,304.0,25.0,2069.0,263.0,2373.0,542.0
mh30,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,new_prices,0.4105011933174224,0.9297297297297298,0.5695364238410596,0.8516516516516517,0.14834834834834834,0.07027027027027027,0.8898347374169926,172.0,247.0,13.0,1418.0,185.0,1665.0,419.0
mh5,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,new_prices,0.5481400437636762,0.8054662379421221,0.65234375,0.9262324362943558,0.0737675637056442,0.1945337620578778,0.8637412551927696,1503.0,1239.0,363.0,15557.0,1866.0,16796.0,2742.0
mh10,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,new_products,0.17194875252865813,0.8707317073170732,0.287185262649827,0.5342688410901013,0.4657311589098987,0.12926829268292683,0.6820592497493879,1785.0,8596.0,265.0,9861.0,2050.0,18457.0,10381.0
mh15,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,new_products,0.1613481133131788,0.8840490797546012,0.27289082473250637,0.4896429544835105,0.5103570455164895,0.11595092024539877,0.6579273541352962,1441.0,7490.0,189.0,7186.0,1630.0,14676.0,8931.0
mh20,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,new_products,0.24389712292938098,0.8607692307692307,0.38009510869565216,0.7036309269542931,0.296369073045707,0.13923076923076924,0.7782440823674072,1119.0,3469.0,181.0,8236.0,1300.0,11705.0,4588.0
mh25,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,new_products,0.2859520639147803,0.810377358490566,0.4227362204724409,0.7751807986584216,0.22481920134157846,0.18962264150943398,0.7925837293115593,859.0,2145.0,201.0,7396.0,1060.0,9541.0,3004.0
mh30,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,new_products,0.36630864895421145,0.8223350253807107,0.5068439577630036,0.8420459349020712,0.1579540650979287,0.17766497461928935,0.8321321200683333,648.0,1121.0,140.0,5976.0,788.0,7097.0,1769.0
mh5,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,IF,new_products,0.2840101863021043,0.7291810048176187,0.4087971447863412,0.7957873007377958,0.2042126992622042,0.2708189951823813,0.7617565119991337,2119.0,5342.0,787.0,20817.0,2906.0,26159.0,7461.0
mh10,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,new_products,0.36699576868829337,0.6346341463414634,0.46505808757819483,0.8784201116107709,0.12157988838922902,0.3653658536585366,0.7466427510270722,1301.0,2244.0,749.0,16213.0,2050.0,18457.0,3545.0
mh15,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,new_products,0.3093784683684795,0.6840490797546013,0.4260603744745892,0.8304033796674843,0.16959662033251569,0.3159509202453988,0.7536820733483406,1115.0,2489.0,515.0,12187.0,1630.0,14676.0,3604.0
mh20,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,new_products,0.31993067590987867,0.71,0.4410991636798089,0.8323793250747544,0.16762067492524563,0.29,0.7687582980385159,923.0,1962.0,377.0,9743.0,1300.0,11705.0,2885.0
mh25,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,new_products,0.2793743179337941,0.7245283018867924,0.40325544762404825,0.7923697725605282,0.20763022743947177,0.27547169811320754,0.7576901251697183,768.0,1981.0,292.0,7560.0,1060.0,9541.0,2749.0
mh30,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,new_products,0.2684258416742493,0.748730964467005,0.39517749497655724,0.7734253910102861,0.22657460898971396,0.2512690355329949,0.7609780147641599,590.0,1608.0,198.0,5489.0,788.0,7097.0,2198.0
mh5,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,new_products,0.402676399026764,0.569511355815554,0.4717787913340935,0.9061508467449062,0.09384915325509385,0.430488644184446,0.7183753874563797,1655.0,2455.0,1251.0,23704.0,2906.0,26159.0,4110.0
mh10,COMPETITOR_1_COUNTRY_2,COMPETITOR_1_COUNTRY_2,competitor,competitor,B2B,IF,combined,0.3528816724594076,0.8376947232313281,0.5285518985351452,0.8293245221579171,0.17067547784208295,0.16230527676867187,0.8541205999446647,13605.0,24949.0,2636.0,121229.0,16241.0,146178.0,38554.0
mh15,COMPETITOR_1_COUNTRY_2,COMPETITOR_1_COUNTRY_2,competitor,competitor,B2B,IF,combined,0.34828747321519676,0.8016910670946528,0.5514983865600264,0.8333318836167529,0.16666811638324708,0.1983089329053472,0.8571873668441429,10240.0,19161.0,2533.0,95804.0,12773.0,114965.0,29401.0
mh20,COMPETITOR_1_COUNTRY_2,COMPETITOR_1_COUNTRY_2,competitor,competitor,B2B,IF,combined,0.39757990867579907,0.8232791225416036,0.5928945168640793,0.8614005967138715,0.1385994032861285,0.17672087745839637,0.871519608460581,8707.0,13193.0,1869.0,81995.0,10576.0,95188.0,21900.0
mh25,COMPETITOR_1_COUNTRY_2,COMPETITOR_1_COUNTRY_2,competitor,competitor,B2B,IF,combined,0.4271792095289659,0.8427686391796625,0.6206207748039572,0.8744541484716157,0.12554585152838427,0.15723136082033753,0.8791830601143575,7890.0,10580.0,1472.0,73692.0,9362.0,84272.0,18470.0
mh30,COMPETITOR_1_COUNTRY_2,COMPETITOR_1_COUNTRY_2,competitor,competitor,B2B,IF,combined,0.47069425419940886,0.8502409167860399,0.650931124879593,0.8937850818818356,0.10621491811816446,0.14975908321396014,0.8893718448392551,6529.0,7342.0,1150.0,61782.0,7679.0,69124.0,13871.0
mh5,COMPETITOR_1_COUNTRY_2,COMPETITOR_1_COUNTRY_2,competitor,competitor,B2B,IF,combined,0.3457512490738806,0.830102622576967,0.5169195531575159,0.8254786301397631,0.17452136986023695,0.16989737742303307,0.8491729079291273,18200.0,34439.0,3725.0,162895.0,21925.0,197334.0,52639.0
mh10,COMPETITOR_1_COUNTRY_2,COMPETITOR_1_COUNTRY_2,competitor,competitor,B2B,Z-score,combined,0.432101159768822,0.6859183547811095,0.6316786820973807,0.8998412893869119,0.10015871061308815,0.3140816452188905,0.8453452519307662,11140.0,14641.0,5101.0,131537.0,16241.0,146178.0,25781.0
mh15,COMPETITOR_1_COUNTRY_2,COMPETITOR_1_COUNTRY_2,competitor,competitor,B2B,Z-score,combined,0.4440277986100695,0.6952947623894151,0.6328683019558502,0.9032749097551429,0.09672509024485713,0.3047052376105848,0.8503985598905164,8881.0,11120.0,3892.0,103845.0,12773.0,114965.0,20001.0
mh20,COMPETITOR_1_COUNTRY_2,COMPETITOR_1_COUNTRY_2,competitor,competitor,B2B,Z-score,combined,0.4350788060735523,0.7125567322239031,0.6299568660359601,0.8972034290036559,0.10279657099634408,0.2874432677760968,0.8577015714008702,7536.0,9785.0,3040.0,85403.0,10576.0,95188.0,17321.0
